message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	3892	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	FIELD	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	DISPATCHER	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class<?>,java.lang.Object[],java.lang.Class<?>[])	14159	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	org.mockito.internal.junit.DefaultTestFinishedEvent	getTestName()	853	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression message is @Nullable	org.mockito.internal.junit.VerificationCollectorImpl	append(java.lang.String)	3042	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression methodInvocationReport.getThrowable() is @Nullable	org.mockito.internal.debugging.VerboseMockInvocationLogger	printReturnedValueOrThrowable(org.mockito.listeners.MethodInvocationReport)	1328	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/debugging/VerboseMockInvocationLogger.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.verification.VerificationDataImpl	VerificationDataImpl(org.mockito.internal.stubbing.InvocationContainerImpl,org.mockito.internal.invocation.InvocationMatcher)	973	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java	FIELD	org.mockito.internal.verification.VerificationDataImpl	null	wanted	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.internal.verification.api.VerificationDataInOrder.getWanted() returns @NonNull	org.mockito.internal.verification.api.VerificationDataInOrderImpl	getWanted()	985	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationDataInOrderImpl.java	METHOD	org.mockito.internal.verification.api.VerificationDataInOrder	getWanted()	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationDataInOrder.java
DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	org.mockito.internal.creation.MockSettingsImpl	getConstructorArgs()	4984	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	assureCanReadMockito(java.util.Set<java.lang.Class<?>>)	13526	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	assureCanReadMockito(java.util.Set<java.lang.Class<?>>)	13939	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	isConstructorMock(java.lang.String,java.lang.Class<?>)	1496	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n                .get(identifier) is @Nullable	org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	handleConstruction(java.lang.String,java.lang.Class<?>,java.lang.Object,java.lang.Object[],java.lang.String[])	1818	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker	InlineByteBuddyMockMaker()	14142	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	PARAMETER	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	InlineBytecodeGenerator(java.lang.instrument.Instrumentation,org.mockito.internal.util.concurrent.WeakConcurrentMap<java.lang.Object,org.mockito.internal.creation.bytebuddy.MockMethodInterceptor>,org.mockito.internal.util.concurrent.DetachedThreadLocal<java.util.Map<java.lang.Class<?>,org.mockito.internal.creation.bytebuddy.MockMethodInterceptor>>,java.util.function.Predicate<java.lang.Class<?>>,org.mockito.internal.creation.bytebuddy.ConstructionCallback)	instrumentation	0	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.plugins.MockMaker.<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler) returns @NonNull	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker	<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler)	14449	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	METHOD	org.mockito.plugins.MockMaker	<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/plugins/MockMaker.java
DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker$1	mockable()	22682	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.stubbing.answers.Returns	Returns(java.lang.Object)	774	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java	FIELD	org.mockito.internal.stubbing.answers.Returns	null	value	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	delegatedObject	979	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/defaultanswers/ForwardsInvocations.java	FIELD	org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	null	delegatedObject	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/defaultanswers/ForwardsInvocations.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.BDDMockito$BDDOngoingStubbingImpl	BDDOngoingStubbingImpl(org.mockito.stubbing.OngoingStubbing<T>)	5192	/private/tmp/projects/mockito/src/main/java/org/mockito/BDDMockito.java	FIELD	org.mockito.BDDMockito$BDDOngoingStubbingImpl	null	mockitoOngoingStubbing	null	/private/tmp/projects/mockito/src/main/java/org/mockito/BDDMockito.java
DEREFERENCE_NULLABLE	dereferenced expression warningsCollector is @Nullable	org.mockito.runners.ConsoleSpammingMockitoJUnitRunner$1	testFailure(org.junit.runner.notification.Failure)	2187	/private/tmp/projects/mockito/src/main/java/org/mockito/runners/ConsoleSpammingMockitoJUnitRunner.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression warningsCollector is @Nullable	org.mockito.runners.VerboseMockitoJUnitRunner$1	testFailure(org.junit.runner.notification.Failure)	2151	/private/tmp/projects/mockito/src/main/java/org/mockito/runners/VerboseMockitoJUnitRunner.java	null	null	null	null	null	null
